airline,total_incidents,total_fatalities,years_active,fatal_events,avg_damage,last_incident,recency_factor,incident_rate,fatality_rate,fatal_ratio,weighted_rate,norm_weighted_rate,norm_fatality_rate,norm_fatal_ratio,norm_avg_damage,penalty,safety_score,risk_label
Kingston Air Service,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Eastern Caribbean Airways Ltd,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Ecutoriana,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Transportation Expeditors Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Aeroamerica Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Antilles Air Boats Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Aeroflot Airlines,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Western Flight Services,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Monticello Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Prattville Aviation,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Powersair Inc,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Transnational,1,0,1,0,0.0,1980,0.7058823529411764,1.0,0.0,0.0,0.7058823529411764,0.2930971315273378,0.0,0.0,0.0,0.10258399603456822,9.38,Safe
Michiana Air Ambulance Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
H And N Aviation Services,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Southeast Checkmate Corp,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Skyway Aviation,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Air Service Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Air Taxi Service Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Basin Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Jd Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Public Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Raf Aviation Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Public Charters Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Sundance Airways,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Alaska Central Airways Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Hoffman Aviation,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Minnesota Jet Inc,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Rainbow Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Bristol Air Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Roberts Flying Service,1,0,1,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
Gem State Airlines,2,0,2,0,0.0,1981,0.7352941176470589,1.0,0.0,0.0,0.7352941176470589,0.30530951200764356,0.0,0.0,0.0,0.10685832920267524,9.36,Safe
